id,difficulty,category,question,ground_truth,block,theme,model_answer
11,Medium,Stack,"I cast [[Lightning Bolt]] on my opponent's 3/3. In response, they cast a spell to give it +1/+1. Does the creature die?","No. The stack is 'Last-In, First-Out'. The +1/+1 spell resolves first, making the creature a 4/4. Then the Bolt deals 3 damage, which is no longer enough to kill it.",2,The Stack & Spell Interaction,"Ah, the intricacies of damage resolution and creature toughness! Let us delve into this interaction with precision.

### 1. The Interaction
You have cast **Lightning Bolt**, which deals 3 damage to a target, specifically your opponent's 3/3 creature. In response, your opponent has cast a spell that grants their creature +1/+1, making it a 4/4.

### 2. The Logic (Step-by-Step)
1. **Initial State**: The creature is a 3/3 with no damage marked on it.
2. **Casting Lightning Bolt**: When you cast **Lightning Bolt**, it is placed on the stack and will deal 3 damage to the target creature upon resolution.
3. **Opponent's Response**: Your opponent casts a spell that gives their creature +1/+1, increasing its toughness to 4. This change occurs before the **Lightning Bolt** resolves.
4. **Resolution of Lightning Bolt**: Now, when **Lightning Bolt** resolves, it deals 3 damage to the creature. The creature is now marked with 3 damage.
5. **State-Based Actions**: At this point, we check if the creature has been dealt lethal damage. The creature is a 4/4 with 3 damage marked on it. Since the total damage (3) is less than its toughness (4), it has not been dealt lethal damage.

Crucially, observe that the damage dealt by **Lightning Bolt** does not destroy the creature because it is still alive with a toughness greater than the damage marked on it.

### 3. The Ruling
The creature does not die; it remains on the battlefield with 3 damage marked on it.

### Sources
[[Lightning Bolt]], [Rule 120.5 (Damage and State-Based Actions)]"
12,Medium,Stack,"If I cast a spell and my opponent casts [[Counterspell]], and then I cast another [[Counterspell]] targeting theirs, does my original spell resolve?","Yes. Your Counterspell resolves first, removing the opponent's Counterspell from the stack. Then, your original spell is next on the stack and will resolve normally.",2,The Stack & Spell Interaction,"Ah, the intricacies of the stack and the art of countering spells! Let us delve into this fascinating interaction.

### 1. The Interaction
You have cast a spell, and your opponent has responded by casting **Counterspell** to counter your original spell. In turn, you cast another **Counterspell** targeting your opponent's **Counterspell**.

### 2. The Logic (Step-by-Step)
- **Step 1**: You cast your original spell. This spell is placed on the stack, and your opponent gains priority.
- **Step 2**: Your opponent casts **Counterspell** targeting your original spell. This **Counterspell** is now on the stack above your original spell, and it will resolve first.
- **Step 3**: You then cast another **Counterspell** targeting your opponent's **Counterspell**. This new **Counterspell** is placed on the stack above the first **Counterspell**.
  
Now, we must resolve the stack in reverse order:
- **Step 4**: The topmost spell, your **Counterspell** targeting your opponent's **Counterspell**, resolves first. It successfully counters the opponent's **Counterspell**, meaning that it is removed from the stack and has no effect.
- **Step 5**: With the opponent's **Counterspell** no longer on the stack, we now return to the next spell down, which is your original spell. Since it was not countered, it resolves successfully.

Crucially, observe that the independence of abilities on the stack allows your **Counterspell** to resolve even after the initial **Counterspell** was cast. The original spell is unaffected by the now-countered **Counterspell**.

### 3. The Ruling
Your original spell resolves successfully, as your second **Counterspell** countered the first **Counterspell** before it could affect your original spell.

### Sources
[[Counterspell]], [Rule 117.7 (Priority and Stacking)]  
[[Counterspell]], [Rule 608.2m (Resolving Spells)]  
[[Counterspell]], [Rule 707.12 (Casting Copies of Spells)]"
13,Hard,Axioms / Stack,I activate [[The One Ring]] to draw cards. My opponent casts [[Vandalblast]] to destroy it in response. Do I still draw the cards?,"Yes. Once an ability is on the stack, it is independent of its source (Axiom 3). The ability will resolve using Last Known Information (LKI) about the counters on the Ring.",2,The Stack & Spell Interaction,"Ah, the intricacies of the stack and the interplay of abilities! Let us dissect this interaction with precision.

### 1. The Interaction
You are activating The One Ring to draw cards, while your opponent responds by casting Vandalblast to destroy it. This scenario presents a fascinating examination of how abilities and spells interact on the stack.

### 2. The Logic (Step-by-Step)
1. **Activation of The One Ring**: When you activate The One Ring's ability, you put a burden counter on it and attempt to draw a card for each burden counter. At this moment, the ability is placed on the stack.
   
2. **Response with Vandalblast**: Your opponent casts Vandalblast targeting The One Ring. Since Vandalblast has an overload cost, if they choose to pay it, it will destroy all artifacts you don't control, including The One Ring, without targeting it.

3. **Independence of Abilities**: Crucially, once The One Ring's ability is on the stack, it exists independently of its source. This means that even if The One Ring is destroyed by Vandalblast, the ability to draw cards will still resolve using Last Known Information (LKI). 

4. **Resolution of The One Ring's Ability**: When The One Ring's ability resolves, it checks the number of burden counters on it. If it had one or more burden counters before it was destroyed, you will draw cards based on that number. The destruction of The One Ring does not affect the resolution of the ability that was already on the stack.

### 3. The Ruling
You will still draw the cards based on the number of burden counters on The One Ring, even if it is destroyed by Vandalblast.

### Sources
[[The One Ring]], [Rule 113.7a (The Stack)]  
[[Vandalblast]], [Rule 601.2i (Casting Spells)]"
14,Medium,Triggers,"My opponent has [[Sheoldred, the Apocalypse]]. I cast [[Brainstorm]]. When do I lose the 6 life?","You lose the life after Brainstorm finishes resolving. Each card drawn triggers Sheoldred, but those triggers wait until the current spell is completely finished before being put on the stack.",2,The Stack & Spell Interaction,"Ah, the intricate dance of card drawing and life manipulation! Let us dissect this interaction with precision.

### 1. The Interaction
You are casting **Brainstorm**, which allows you to draw three cards, while your opponent controls **Sheoldred, the Apocalypse**, whose abilities trigger whenever a card is drawn.

### 2. The Logic (Step-by-Step)
1. **Casting Brainstorm**: When you cast **Brainstorm**, it goes onto the stack. Once it resolves, you will draw three cards.
2. **Drawing Cards**: As you draw the three cards, **Sheoldred's** triggered ability activates for each card drawn. Since you are drawing three cards, **Sheoldred** will trigger three times.
3. **Order of Triggers**: You control the order of the triggered abilities. You can choose to resolve them in any order you prefer, but they will all resolve before any player can take further actions.
4. **Life Loss Calculation**: Each time you draw a card, you gain 2 life from **Sheoldred**, and your opponent loses 2 life. Therefore, for the three cards drawn, your opponent will lose a total of 6 life (2 life lost per card drawn).
5. **Resolution of Triggers**: The life loss occurs simultaneously as the triggers resolve. Thus, after you finish drawing the three cards, your opponent will lose 6 life in total.

### 3. The Ruling
You will lose 6 life immediately after resolving **Brainstorm**, as your opponent loses 2 life for each of the three cards you draw.

### Sources
[[Brainstorm]], [Rule 704.7 (State-Based Actions)]  
[[Sheoldred, the Apocalypse]], [Rule 704.7 (State-Based Actions)]"
15,Medium,Targets,Can I cast [[Fatal Push]] on a creature with [[Protection from Black]]?,"No. Protection prevents targeting. Since Fatal Push requires a 'target creature', a creature with protection from black is not a legal target for it.",2,The Stack & Spell Interaction,"Ah, the intricacies of protection mechanics! Let us delve into the nuances of targeting spells and abilities.

### 1. The Interaction
The key cards in question are **Fatal Push**, an instant that destroys a target creature based on its mana value, and a creature with **Protection from Black**, which prevents it from being targeted by black spells and abilities.

### 2. The Logic (Step-by-Step)
- **Protection Mechanic**: According to Rule 702.16b, a permanent with protection from a specific quality (in this case, black) cannot be targeted by spells or abilities that have that quality. This includes any black spells, such as Fatal Push.
- **Targeting Requirement**: Fatal Push requires a target creature to resolve. If the target is a creature with protection from black, the spell cannot legally target it, and thus it cannot resolve.
- **Conclusion**: The protection ability effectively creates a barrier against any targeting attempts from black sources, rendering Fatal Push ineffective against such a creature.

### 3. The Ruling
You cannot cast Fatal Push on a creature with Protection from Black, as it cannot be targeted by black spells.

### Sources
[[Fatal Push]], [Rule 702.16b (Protection from [quality])]"
16,Hard,Axioms / LKI,"I sacrifice [[Manglehorn]] to its own ability to destroy an artifact. If Manglehorn is in the graveyard, does the ability still work?",Yes. Abilities on the stack do not care if the source is still on the battlefield. The ability will resolve and destroy the targeted artifact.,2,The Stack & Spell Interaction,"Ah, a fascinating inquiry into the mechanics of sacrifice and triggered abilities! Let us dissect this interaction with precision.

### 1. The Interaction
The key card here is **Manglehorn**, which has an ability that triggers when it enters the battlefield, allowing you to destroy a target artifact. You are considering sacrificing Manglehorn to activate this ability while it is in the graveyard.

### 2. The Logic (Step-by-Step)
- **Sacrifice Mechanics**: To sacrifice Manglehorn, you would move it from the battlefield directly to your graveyard. This action does not destroy it; rather, it is a distinct action that places it in the graveyard (Rule 701.21).
- **Triggered Abilities**: Manglehorn's ability is a triggered ability that activates upon its entry to the battlefield. Once this ability is placed on the stack, it exists independently of Manglehorn itself (Rule 113.7a). Thus, if Manglehorn is sacrificed after its ability has been triggered, the ability will still resolve using Last Known Information (LKI).
- **Graveyard State**: If Manglehorn is in the graveyard, it cannot trigger its own ability because it is no longer on the battlefield. The ability requires Manglehorn to be present on the battlefield to trigger in the first place.

### 3. The Ruling
You cannot sacrifice Manglehorn to its own ability while it is in the graveyard; the ability will not trigger if Manglehorn is not on the battlefield.

### Sources
[[Manglehorn]], [Rule 701.21 (Sacrifice)], [Rule 113.7a (The Stack)]"
17,Medium,Stack,"If I cast a spell with [[Split Second]], can my opponent activate a mana ability in response?",Yes. Split Second prevents spells and non-mana abilities from being activated. Mana abilities (like tapping a land) do not use the stack and can still be used.,2,The Stack & Spell Interaction,"Ah, the intricacies of split second! Let us delve into the mechanics of this fascinating ability.

### 1. The Interaction
The key card in question is any spell with the split second ability, which prevents players from casting spells or activating abilities that aren't mana abilities while it is on the stack.

### 2. The Logic (Step-by-Step)
- When you cast a spell with split second, it enters the stack and the split second ability takes effect.
- According to Rule 702.61a, while the spell with split second is on the stack, players cannot cast other spells or activate abilities that aren't mana abilities.
- However, Rule 702.61b clarifies that players may still activate mana abilities and take special actions while a spell with split second is on the stack.
- Therefore, your opponent is indeed permitted to activate mana abilities in response to your split second spell, as these abilities are specifically exempt from the restrictions imposed by split second.

### 3. The Ruling
Your opponent can activate a mana ability in response to your spell with split second.

### Sources
[[Split Second]], [Rule 702.61a (Split Second)]  
[[Split Second]], [Rule 702.61b (Split Second)]"
18,Hard,Triggers,"I control [[Elesh Norn, Mother of Machines]] and an opponent's creature with an ETB ability enters the battlefield. Does it trigger?",No. Elesh Norn's second ability specifically states that permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger.,2,The Stack & Spell Interaction,"Ah, a delightful inquiry into the nuances of triggered abilities and the effects of Elesh Norn, Mother of Machines! Let us dissect this interaction with precision.

### 1. The Interaction
The key cards in this scenario are Elesh Norn, Mother of Machines, and an opponent's creature that possesses an enters-the-battlefield (ETB) ability. The mechanical conflict arises from Elesh Norn's ability to influence triggered abilities when permanents enter the battlefield.

### 2. The Logic (Step-by-Step)
- **Elesh Norn's Abilities**: Elesh Norn has two relevant abilities. The first states that if a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. The second ability prevents abilities of permanents your opponents control from triggering when a permanent enters the battlefield.
  
- **Opponent's Creature Enters**: When the opponent's creature enters the battlefield, it would normally trigger its own ETB ability. However, since this creature is controlled by your opponent, we must consider Elesh Norn's second ability, which specifically states that ""Permanents entering don't cause abilities of permanents your opponents control to trigger.""

- **Application of the Rules**: According to Rule 603.6a, ETB abilities trigger when a permanent enters the battlefield. However, because Elesh Norn's second ability is in effect, the ETB ability of the opponent's creature does not trigger at all. 

- **Conclusion**: Thus, the opponent's creature entering the battlefield does not cause its ability to trigger due to Elesh Norn's effect.

### 3. The Ruling
The opponent's creature with an ETB ability does not trigger when it enters the battlefield while you control Elesh Norn, Mother of Machines.

### Sources
[[Elesh Norn, Mother of Machines]], [Rule 603.6a (Enters-the-battlefield abilities)]"
19,Medium,Stack,What happens if a spell on the stack has its only target removed before it resolves?,"The spell is 'fizzled' (removed from the stack by the game rules). None of its effects happen, not even the ones that don't depend on the target (like drawing a card).",2,The Stack & Spell Interaction,"Ah, a most intriguing inquiry regarding the nature of targets and the stack! Let us delve into the mechanics of spell resolution and target legality.

### 1. The Interaction
We are examining a scenario where a spell on the stack has its only target removed before it resolves. This situation is critical, as it directly pertains to the rules governing target legality and spell resolution.

### 2. The Logic (Step-by-Step)
- **Initial State**: A spell is cast and placed on the stack, targeting a single legal target.
- **Target Removal**: Before the spell resolves, the target becomes illegal. This could occur due to various reasons, such as the target being destroyed, exiled, or gaining protection from the spell's color.
- **Resolution Check**: When the spell attempts to resolve, it must check the legality of its target. According to Rule 608.2b, if the target is no longer legal, the spell does not resolve. 
- **Outcome**: The spell is removed from the stack and placed into its owner's graveyard, as specified in Rule 608.2b. This is a crucial point: the spell does not resolve at all if all its targets are illegal.

### 3. The Ruling
If a spell on the stack has its only target removed before it resolves, the spell does not resolve and is put into its owner's graveyard.

### Sources
[[Rule 608.2b]], [[Rule 608.2n]]"
20,Hard,Costs,"If I have [[Thalia, Guardian of Thraben]] and I want to cast a spell for its [[Overload]] cost, do I still pay the extra {1}?","Yes. First you choose the base cost (Overload), then you apply any cost increases (Thalia), then any cost reductions. The {1} tax from Thalia is added to the Overload cost.",2,The Stack & Spell Interaction,"Ah, a delightful inquiry into the intricacies of cost adjustments and alternative costs! 

### 1. The Interaction
You are considering the interaction between Thalia, Guardian of Thraben, whose ability increases the cost of noncreature spells, and a spell with the Overload ability, which allows you to pay an alternative cost to cast it.

### 2. The Logic (Step-by-Step)
- **Thalia's Effect**: Thalia imposes an additional cost of {1} to cast noncreature spells. This means that whenever you cast a noncreature spell, you must add {1} to its mana cost.
- **Overload Mechanic**: When you choose to cast a spell using its Overload cost, you are opting to pay an alternative cost instead of the spell's normal mana cost. The Overload ability allows you to change the text of the spell, affecting how it interacts with targets.
- **Cost Calculation**: According to the rules, when determining the total cost of a spell, you start with the mana cost (or alternative cost) and then add any cost increases. Since Thalia's ability applies to noncreature spells, you must add the {1} to the Overload cost as well.
- **Final Cost**: Therefore, if the Overload cost of the spell is, for example, {R}, you would pay {R} + {1} = {1}{R} in total to cast the spell using its Overload cost.

### 3. The Ruling
Yes, you must pay the additional {1} when casting a spell for its Overload cost while Thalia, Guardian of Thraben, is on the battlefield.

### Sources
[[Thalia, Guardian of Thraben]], [Rule 118.10 (Cost Calculation)]  
[[Overload]], [Rule 702.96a (Overload)]"
